AvgSpotLen	BioSample	Experiment	Instrument	LibraryLayout	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	ecotype	individual	sex	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	age	tissue
302	SAMN04247378	SRX1425152	Illumina HiSeq 2500	PAIRED	1/28/16	16136	7787	SRR2975988	SRS1157423	9spine_7-2	highly contaminated	Individual fish 1	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
302	SAMN04247379	SRX1465562	NextSeq 500	PAIRED	12/4/15	10574	5102	SRR2976053	SRS1192080	9spine_7-3	highly contaminated	Individual fish 2	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
302	SAMN04247380	SRX1465565	NextSeq 500	PAIRED	12/4/15	7675	3775	SRR2976059	SRS1192095	9spine_7-4	highly contaminated	Individual fish 3	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
302	SAMN04247383	SRX1465568	NextSeq 500	PAIRED	12/6/15	21984	10207	SRR2976063	SRS1192096	9spine_7-1	highly contaminated	Individual fish 6	male	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
302	SAMN04247382	SRX1465569	NextSeq 500	PAIRED	12/6/15	13394	6442	SRR2976064	SRS1192097	9spine_11-1	highly contaminated	Individual fish 5	male	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
302	SAMN04247388	SRX1465590	NextSeq 500	PAIRED	12/5/15	49428	23249	SRR2976086	SRS1192118	9spine_9-2	slightly contaminated	Individual fish 11	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
302	SAMN04247389	SRX1465591	NextSeq 500	PAIRED	12/5/15	10679	5197	SRR2976087	SRS1192119	9spine_9-3	slightly contaminated	Individual fish 12	male	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
101	SAMN04247385	SRX1465593	NextSeq 500	SINGLE	12/5/15	4246	2924	SRR2976089	SRS1192121	9spine_13-1	slightly contaminated	Individual fish 8	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
101	SAMN04247386	SRX1465777	NextSeq 500	SINGLE	12/5/15	3626	2427	SRR2976263	SRS1192162	9spine_13-2	slightly contaminated	Individual fish 9	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
101	SAMN04247387	SRX1465778	NextSeq 500	SINGLE	12/5/15	5258	3504	SRR2976264	SRS1192163	9spine_13-3	slightly contaminated	Individual fish 10	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
101	SAMN04247390	SRX1465779	NextSeq 500	SINGLE	12/5/15	6971	4623	SRR2976266	SRS1192164	9spine_13-4	slightly contaminated	Individual fish 13	male	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
101	SAMN04247384	SRX1465780	NextSeq 500	SINGLE	12/5/15	6288	4247	SRR2976268	SRS1192165	9spine_5-1	highly contaminated	Individual fish 7	male	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
101	SAMN04247381	SRX1465781	NextSeq 500	SINGLE	12/5/15	6474	4426	SRR2976269	SRS1192166	9spine_5-3	highly contaminated	Individual fish 4	female	RNA-Seq	PRJNA301475	Model organism or animal	public	sra	ncbi	0	PolyA	TRANSCRIPTOMIC	Pungitius pungitius	ILLUMINA	11/20/17	SRP065970	adult	abdominal cross section immediately behind pectoral fin
